               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06102,            0.020021,            0.056176,             0.42256,             0.34759,             0.22301,             0.12165,            0.041616,            0.008949,             0.05097,             0.07002,           0.0033311,           0.0033311
                   1,            0.045581,            0.014271,             0.03749,             0.40685,             0.36249,             0.30678,             0.17448,            0.037217,           0.0093184,            0.049302,            0.039987,           0.0066315,           0.0066315
                   2,            0.044863,            0.014012,            0.030223,             0.47188,             0.26936,             0.20409,             0.10576,            0.039446,            0.010962,            0.067307,           0.0099208,           0.0098988,           0.0098988
                   3,            0.043467,            0.014438,            0.026818,             0.38041,             0.27382,             0.23195,             0.12327,            0.044225,            0.012287,            0.055491,           0.0098515,           0.0098515,           0.0098515
                   4,            0.041535,            0.013928,            0.022869,             0.31577,             0.38389,             0.30738,             0.18172,            0.037716,            0.011074,            0.052241,           0.0098515,           0.0098515,           0.0098515
                   5,            0.040435,             0.01357,            0.020518,             0.39287,             0.35811,             0.32732,             0.19101,            0.036919,           0.0096826,            0.047988,            0.009802,            0.009802,            0.009802
                   6,            0.039138,            0.013182,            0.018209,             0.39931,             0.42504,             0.37089,             0.23015,            0.036081,             0.01025,              0.0543,           0.0097525,           0.0097525,           0.0097525
                   7,            0.038205,            0.012975,            0.016469,             0.42058,             0.44356,             0.35845,             0.21554,            0.035913,            0.010136,            0.053169,            0.009703,            0.009703,            0.009703
                   8,            0.037558,            0.012584,            0.014876,              0.4211,             0.46587,             0.41601,             0.25523,            0.037291,            0.010851,            0.043169,           0.0096535,           0.0096535,           0.0096535
                   9,            0.037062,            0.012573,            0.014234,             0.43348,             0.39689,             0.39417,             0.25155,            0.035125,            0.010025,            0.053692,            0.009604,            0.009604,            0.009604
                  10,            0.036369,            0.012196,            0.013394,             0.61771,             0.40616,             0.42255,             0.26074,            0.035713,           0.0098055,            0.041617,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036003,            0.012121,             0.01272,             0.58101,             0.36283,             0.37244,             0.21761,            0.038202,            0.011415,            0.044748,            0.009505,            0.009505,            0.009505
                  12,            0.035721,            0.011981,             0.01195,             0.45397,              0.4255,             0.41789,             0.26356,            0.035704,           0.0099537,            0.050732,           0.0094555,           0.0094555,           0.0094555
                  13,             0.03538,            0.011892,            0.011325,             0.48172,             0.38993,             0.39327,             0.24749,            0.035393,            0.010294,            0.048761,            0.009406,            0.009406,            0.009406
                  14,            0.034823,            0.011783,            0.010797,             0.47434,             0.43566,             0.42086,             0.27201,            0.034566,           0.0091955,            0.047144,           0.0093565,           0.0093565,           0.0093565
                  15,            0.034424,            0.011707,            0.010081,             0.43405,             0.45044,              0.4164,              0.2704,            0.033478,           0.0097644,            0.050508,            0.009307,            0.009307,            0.009307
                  16,             0.03457,            0.011622,            0.010343,             0.57577,             0.40681,             0.40279,             0.25721,            0.033753,            0.010459,            0.055902,           0.0092575,           0.0092575,           0.0092575
                  17,            0.034002,            0.011362,           0.0095602,             0.49706,             0.44939,              0.4429,             0.28113,            0.033859,           0.0097208,            0.044486,            0.009208,            0.009208,            0.009208
                  18,            0.033768,            0.011419,           0.0090362,             0.60723,               0.441,             0.44848,              0.3011,            0.032629,           0.0090895,            0.051736,           0.0091585,           0.0091585,           0.0091585
                  19,            0.033832,            0.011246,           0.0087656,              0.5541,             0.45599,             0.47704,             0.32111,            0.032479,           0.0094952,            0.041087,            0.009109,            0.009109,            0.009109
                  20,            0.033406,            0.011258,           0.0090528,             0.65355,             0.39583,             0.41757,             0.27278,            0.034115,            0.010447,            0.049534,           0.0090595,           0.0090595,           0.0090595
                  21,            0.033401,            0.011162,            0.008505,             0.48769,             0.38128,             0.39276,             0.25939,             0.03229,           0.0096629,             0.04968,             0.00901,             0.00901,             0.00901
                  22,            0.033206,            0.011196,           0.0087997,             0.48344,             0.46872,             0.44157,             0.28507,            0.032652,           0.0092399,            0.045393,           0.0089605,           0.0089605,           0.0089605
                  23,            0.032876,            0.010979,           0.0078645,             0.51495,             0.46564,             0.44906,             0.30022,            0.032688,           0.0093664,            0.049092,            0.008911,            0.008911,            0.008911
                  24,            0.032848,            0.010901,           0.0076202,             0.46521,             0.47926,             0.43683,             0.29527,            0.031595,           0.0088614,            0.045451,           0.0088615,           0.0088615,           0.0088615
